"","ADM0","ADM1","ADM2"
"1","Rwanda","East","Bugesera"
"2","Rwanda","East","Gatsibo"
"3","Rwanda","East","Kayonza"
"4","Rwanda","East","Kibungo"
"5","Rwanda","East","Kirehe"
"6","Rwanda","East","Nyagatare"
"7","Rwanda","East","Rwamagana"
"8","Rwanda","Kigali","Butamwa"
"9","Rwanda","Kigali","Kicukiro"
"10","Rwanda","Kigali","Kigali"
"11","Rwanda","Lake","Lake"
"12","Rwanda","North","Burera"
"13","Rwanda","North","Byumba"
"14","Rwanda","North","Gakenke"
"15","Rwanda","North","Ruhengeri"
"16","Rwanda","North","Rulindo"
"17","Rwanda","South","Butare"
"18","Rwanda","South","Gatagara"
"19","Rwanda","South","Gikongoro"
"20","Rwanda","South","Gisagara"
"21","Rwanda","South","Gitarama"
"22","Rwanda","South","Kamonyi"
"23","Rwanda","South","Nyanza"
"24","Rwanda","South","Nyaruguru"
"25","Rwanda","West","Cyangugu"
"26","Rwanda","West","Gasiza"
"27","Rwanda","West","Gisenyi"
"28","Rwanda","West","Kibuye"
"29","Rwanda","West","Nogororero"
"30","Rwanda","West","Nyamasheke"
"31","Rwanda","West","Rutsiro"
