,project,mechanism,shortName,IP,District,OBJECTID,Prov_ID,Province,Dist_ID,id,output_ID,subIR_ID,output,result,partner
1,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rulindo,18,4,Northern Province,41,17,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
2,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rulindo,18,4,Northern Province,41,17,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
3,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gakenke,19,4,Northern Province,42,18,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
4,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gakenke,19,4,Northern Province,42,18,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
5,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Musanze,20,4,Northern Province,43,19,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
6,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Musanze,20,4,Northern Province,43,19,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
7,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Burera,21,4,Northern Province,44,20,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
8,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Burera,21,4,Northern Province,44,20,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
9,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gicumbi,22,4,Northern Province,45,21,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
10,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gicumbi,22,4,Northern Province,45,21,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
