"ID","Technical Area / Program","Intervention","Impl. Partner","Start Date","End Date","Province","District","Sector","Updated Date"
"1","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Kigali City","Nyarugenge","Rwezamenyo","12/2/2016"
"2","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Gahanga","12/1/2016"
"3","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Gatenga","12/1/2016"
"4","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Kagarama","12/1/2016"
"5","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Kanombe","12/1/2016"
"6","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Kicukiro","12/1/2016"
"7","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Nyarugunga","12/1/2016"
"8","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Kivu","12/4/2016"
"9","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Muganza","12/4/2016"
"10","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Cyanika","12/4/2016"
"11","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Kibumbwe","12/1/2016"
"12","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Kitabi","12/1/2016"
"13","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Mugano","12/1/2016"
"14","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Tare","12/1/2016"
"15","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Uwinkingi","12/1/2016"
"16","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Cyeza","12/5/2016"
"17","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Kabacuzi","12/5/2016"
"18","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Kibangu","12/5/2016"
"19","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Kiyumba","12/5/2016"
"20","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Muhanga","12/5/2016"
"21","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Mushishiro","12/4/2016"
"22","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Mushishiro","12/5/2016"
"23","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Nyabinoni","12/5/2016"
"24","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Nyamabuye","12/5/2016"
"25","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Nyarusange","12/5/2016"
"26","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Rongi","12/5/2016"
"27","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Rugendabari","12/5/2016"
"28","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Shyogwe","12/4/2016"
"29","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Southern Province","Muhanga","Shyogwe","12/5/2016"
"30","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Bwishyura","12/5/2016"
"31","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Gashari","12/5/2016"
"32","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Gishyita","12/5/2016"
"33","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Gitesi","12/5/2016"
"34","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Mubuga","12/5/2016"
"35","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Murambi","12/5/2016"
"36","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Murundi","12/5/2016"
"37","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Mutuntu","12/5/2016"
"38","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Rubengera","12/5/2016"
"39","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Rugabano","12/5/2016"
"40","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Ruganda","12/5/2016"
"41","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Rwankuba","12/5/2016"
"42","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Karongi","Twumba","12/5/2016"
"43","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Gihango","12/5/2016"
"44","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Manihira","12/5/2016"
"45","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Mukura","12/5/2016"
"46","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Murunda","12/5/2016"
"47","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Musasa","12/5/2016"
"48","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Mushonyi","12/5/2016"
"49","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Mushubati","12/5/2016"
"50","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Nyabirasi","12/5/2016"
"51","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Ruhango","12/5/2016"
"52","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rutsiro","Rusebeya","12/5/2016"
"53","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Bugeshi","12/1/2016"
"54","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Cyanzarwe","12/1/2016"
"55","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Nyakiriba","12/1/2016"
"56","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Nyamyumba","12/1/2016"
"57","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Nyundo","12/1/2016"
"58","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Rugerero","12/1/2016"
"59","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Bugarama","12/5/2016"
"60","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Butare","12/5/2016"
"61","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Bweyeye","12/5/2016"
"62","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Gashonga","12/5/2016"
"63","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Giheke","12/5/2016"
"64","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Gihundwe","12/5/2016"
"65","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Gikundamvura","12/5/2016"
"66","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Gitambi","12/5/2016"
"67","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Kamembe","12/5/2016"
"68","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Muganza","12/5/2016"
"69","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Mururu","12/5/2016"
"70","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Nkanka","12/5/2016"
"71","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Nkombo","12/5/2016"
"72","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Nkungu","12/5/2016"
"73","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Nyakabuye","12/5/2016"
"74","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Nyakarenzo","12/5/2016"
"75","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Nzahaha","12/5/2016"
"76","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Rusizi","Rwimbogo","12/5/2016"
"77","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Bushekeri","12/5/2016"
"78","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Bushenge","12/5/2016"
"79","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Cyato","12/5/2016"
"80","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Gihombo","12/5/2016"
"81","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Kagano","12/5/2016"
"82","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Kanjongo","12/5/2016"
"83","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Karambi","12/5/2016"
